epoch,acc,loss,val_acc,val_loss
0,0.8273,0.5539759183565776,0.8542,0.47510255799293516
1,0.93471664,0.21483412818113962,0.8986,0.33613891487121583
2,0.9522,0.1536867297331492,0.9161,0.2849283073425293
3,0.96205,0.12360098869800568,0.9286,0.2535165599346161
4,0.9684833,0.10208512022097906,0.9299,0.23714577159881592
5,0.9719833,0.08889401816129684,0.9382,0.2186341330051422
6,0.9762333,0.07680379019975662,0.9372,0.22125950314998627
7,0.9778,0.06967913482983908,0.9402,0.21688650274276733
8,0.98055,0.062330864425003525,0.9436,0.20698706481456758
9,0.9824833,0.055289588913321495,0.9439,0.20930220525711773
10,0.9838667,0.05060333510239919,0.9487,0.19473223133087159
11,0.98516667,0.04655190811157227,0.9504,0.1896246838569641
12,0.98721665,0.04090315378556649,0.9481,0.20547423662543296
13,0.9874833,0.038681277133027714,0.9515,0.19146450033187867
14,0.9894,0.03451495814671119,0.9491,0.196595384567976
15,0.98901665,0.03370523824741443,0.9536,0.18927272115945817
16,0.9902667,0.030748963375637928,0.9508,0.20915079264640807
17,0.99008334,0.029668467859427134,0.9547,0.19118482333421707
18,0.9917,0.02542810377230247,0.951,0.2055947372674942
19,0.9922,0.023906984820837775,0.9523,0.21135237919986247
20,0.99228334,0.022569864321748415,0.9547,0.20506716348826884
21,0.9926,0.02255165270753205,0.952,0.21309162281751634
22,0.99308336,0.02095374088237683,0.9502,0.2187458669900894
23,0.99341667,0.02019440148472786,0.9532,0.2130199316261336
24,0.99335,0.019793194346378246,0.9561,0.20778401446342468
25,0.9945167,0.01746229743299385,0.9495,0.23440471971929072
26,0.99455,0.01705466877557337,0.9493,0.23795344450473785
27,0.99445,0.016427667791768907,0.9551,0.21943311824798584
28,0.99473333,0.015281402966255943,0.9543,0.21923596712350846
29,0.99508333,0.015158442252750199,0.9544,0.22524320196080952
30,0.9949667,0.015292500468716025,0.9532,0.22966341903209686
31,0.9957167,0.013585370013304055,0.9542,0.22892312121391295
32,0.99626666,0.012870316018971303,0.9552,0.23310960239470005
33,0.9961333,0.011923123522164921,0.9537,0.22789565091133118
34,0.99581665,0.01264060216487075,0.9539,0.23169922818541527
35,0.99615,0.012196356748106579,0.9569,0.22445209691524506
36,0.9962,0.011472024841296176,0.9576,0.22213260591141878
37,0.9967333,0.010251373948777716,0.9555,0.22832872865200043
38,0.9960833,0.011046151124251386,0.9532,0.23415453019142152
39,0.99663335,0.011083464171054462,0.9551,0.235032237637043
40,0.9961333,0.01149991473009189,0.9553,0.22802385699748992
41,0.99666667,0.009699776112784941,0.9582,0.22793559272289277
42,0.99685,0.009423514010664076,0.9554,0.2428684580385685
43,0.99693334,0.009415037148802851,0.9561,0.24348442148212343
44,0.9974333,0.008136157907530044,0.9573,0.23260640337103977
45,0.99725,0.008963303237222135,0.9549,0.25867761950492857
46,0.9975167,0.00786195376769174,0.9558,0.24635434968918563
47,0.99701667,0.008800986167633286,0.958,0.2337838181257248
48,0.9970667,0.00901585433986038,0.9564,0.2421975333701819
49,0.99761665,0.007714129359119882,0.9567,0.25359149427395317
50,0.99756664,0.007764465503456692,0.9562,0.25375011248588564
51,0.99733335,0.0081385954127841,0.958,0.24523912451267244
52,0.9975,0.007463290803413838,0.9567,0.25375067776739596
53,0.9974,0.007960335994030659,0.959,0.23943369294404984
54,0.99803334,0.00661499015041627,0.9579,0.24644915155023336
55,0.9974167,0.00781786137088202,0.9574,0.24347662445902823
56,0.9977,0.007050238203001208,0.9567,0.25127147829532626
57,0.99806666,0.006193069092851753,0.9549,0.26167619915008544
58,0.9978833,0.006458124044948879,0.9593,0.2423560431867838
59,0.9978833,0.006164582850170942,0.9576,0.2563341379621997
